ID,IsPeaceful,Title,Context,OptA_Text,OptA_Result_Txt,OptA_Result_Data,NextID_A,Condition_A,OptB_Text,OptB_Result_Txt,OptB_Result_Data,NextID_B,Condition_B,Effect_Type
3002,0,逃兵的背影,队伍里少了一个人。那个一直喊着想妈妈的新兵不见了。你在沙地上发现了他的脚印，指向伊吾的方向。他逃跑了。在这个距离上，你可以用弩射穿他的后心。你的手指扣在扳机上，感受着那根紧绷的弦。那是纪律的弦，也是人性的弦。,射杀：纪律高于一切,严明军纪,ADD_RES:belief:10|SUB_RES:belief:2,3003,,放他走：让他自生自灭,妇人之仁,SUB_RES:belief:10,3003,,
3003,1,烈日下的行军,太阳不再是天体，它是一个巨大的刑具。每一寸皮肤都在尖叫。汗水流进眼睛里，带来灼烧的刺痛。水囊里的水只剩下一半了。你听到士兵们沉重的呼吸声，像是一群濒死的老牛。你的肺部充满了铁锈味。这时候，喝一口水就是极乐，就是上帝。,严格控水：按配额分配,维持存量,SUB_RES:belief:2,3004,,放开饮水：缓解痛苦,恢复体力,ADD_RES:grain:0,3004,,
3004,0,影子部队,你们并不孤单。在地平线的极远处，总有几个黑点在移动。匈奴的狼群在跟踪你们。他们不攻击，只是看着。这种被注视的感觉比箭矢射在身上还要难受。它在侵蚀你的神经。你在等待另一只靴子落下，但它就是悬在半空。,设下伏击：引诱他们,消除监视,ADD_RES:belief:5,3005,BELIEF>30,加快行军：甩掉他们,兵力掉队,SUB_RES:belief:5,3005,,
3005,1,疏勒的轮廓,终于，它出现了。疏勒城。它不像金蒲城那样方正，它像是一块从山体里长出来的顽石，卡在涧水旁边。丑陋，粗糙，但坚固得令人发指。这就是你们的新坟墓，或者新家。看着那高耸的城墙，你感到一种奇怪的安心感——至少这里看起来很难攻破。,评估防御：寻找弱点,获得情报,ADD_RES:belief:5,3006,,鼓舞士气：我们到家了,提升士气,ADD_RES:belief:15,3006,,
3006,1,涧水的诱惑,疏勒城下流淌着涧水。活水！清澈、冰冷、奔流不息的水。士兵们疯了一样冲向河边，把头埋进水里痛饮。你看着这水，脑子里闪过一丝阴影：如果匈奴人截断了上游怎么办？不，别想那个。现在，先享受这甘甜的液体。让多巴胺淹没你的恐惧。,痛饮溪水：补满水囊,资源回满,ADD_RES:grain:0,3007,,勘察水源：寻找源头,发现隐患,SUB_RES:belief:5,3007,,
3007,1,入驻的废墟,疏勒城内部比外面看起来更破败。这里很久没人住了。到处是老鼠和蜘蛛网。空气中弥漫着霉味。你需要清理这片废墟，把它变成一个军事要塞。每一堆垃圾里都可能藏着有用的东西，或者是某种致命的毒虫。,彻底清理：大扫除,发现物资,SUB_RES:belief:1|ADD_RES:grain:20,3008,,简单打扫：就地休息,恢复体力,ADD_RES:belief:0,3008,,
3008,0,匈奴的前锋,你们刚安顿好，那个黑色的潮水就追上来了。匈奴的前锋部队抵达城下。这次他们没有废话，直接开始砍伐树木，建立营寨。他们不急着攻城，这种从容不迫的态度让你感到窒息。他们知道你们跑不掉了。这是猫捉老鼠游戏的最后一章。,射击骚扰：不让他们安生,延缓敌军,SUB_RES:grain:5,3009,,闭门不出：保存实力,敌军合围,ADD_RES:grain:0,3009,,
3009,1,围城的铁桶,第二天早上，你醒来时，世界变了。疏勒城被围得水泄不通。五千人？一万人？数不清。无数的帐篷像白色的蘑菇一样长满了山野。最糟糕的是，你看到他们在上游筑坝。那个关于水源的噩梦成真了。你的胃部一阵抽搐，这次不是因为饥饿，而是因为预知了未来的干渴。,召集军官：商议对策,制定计划,ADD_RES:belief:5,4000,,独自登上城楼：凝视深渊,孤独统帅,ADD_RES:belief:10|SUB_RES:belief:5,4000,,
4000,0,静默的河床,突然之间，水声消失了。那种日夜伴随你们的、令人安心的潺潺声，像是被一只无形的大手掐断了咽喉。你冲上城墙。上游的峡谷被匈奴人筑坝填死。河床裸露出来，像是一条干枯的伤疤。石头在阳光下惨白得刺眼。你的口腔瞬间分泌出一种苦味——那是名为‘干渴’的幻觉。,立刻派人抢水：最后的疯狂,抢到少量水,ADD_RES:grain:10|SUB_RES:belief:15,4001,,节约用水：进入配给制,士气低落,SUB_RES:belief:10,4001,,
4001,1,深井的尘埃,‘挖！’你命令道。士兵们在城中挖掘，像是一群绝望的土拨鼠。五丈，十丈，十五丈。每一铲下去，带上来的只有干燥的灰土。那灰尘在空气中飘荡，呛进肺里。有人开始哭泣，声音干瘪嘶哑。井底不仅没有水，甚至连湿气都没有。地狱或许就是干的。,继续深挖：不信天命,挖出湿泥,SUB_RES:belief:5|ADD_RES:grain:5,4002,,停止挖掘：保存体力,绝望加剧,SUB_RES:belief:15,4002,,
4002,1,炼金术士的饮料,马匹在嘶鸣，它们也渴。一个老兵捧着一团湿漉漉的东西走到你面前——那是马粪。‘校尉，挤一挤，还有水。’他展示给你看，那黑褐色的液体滴在碗里。气味令人作呕，但在你充血的眼睛里，那仿佛是琼浆玉液。这是生物学的奇迹，是尊严的葬礼。,带头饮用：为了生存,同甘共苦,ADD_RES:grain:5|ADD_RES:belief:20,4003,,拒绝饮用：保持人性,士兵脱水,SUB_RES:belief:10|SUB_RES:belief:5,4003,,
4003,0,劝降的箭书,一支箭射上了城楼，没有箭头，只绑着一封信。匈奴单于的信。信上说：‘汉军已如瓮中之鳖。若降，封王，妻以公主。’字迹歪歪扭扭，但意思很诱人。透过城墙垛口，你看到匈奴大营里升起的炊烟，那是烤全羊的味道。那味道顺风飘来，比箭矢更有穿透力。,烧毁书信：不屑一顾,坚定信念,ADD_RES:belief:10,4004,,犹豫片刻：在此动摇,引发内乱,SUB_RES:belief:5,4004,,
4004,1,干裂的嘴唇,你的副官嘴唇已经裂开了，血痂凝固在嘴角。他说话时，血痂会裂开，流出新的血。‘校尉，朝廷的援军……还会来吗？’他问。这是一个不能回答的问题。如果说会，那是骗人；如果说不会，那是杀人。你看着天山的方向，那里只有云，没有旗帜。,沉默：无声的回答,默认绝望,SUB_RES:belief:5,4005,,撒谎：肯定的谎言,善意谎言,ADD_RES:belief:10,4005,,
4005,1,雨之祈祷,耿恭站在城头，向天长啸。这是史书上的一幕。在游戏中，你就是耿恭。你感到一种荒谬的冲动——向那些你从未真正相信过的神明祈祷。向昊天上帝，向山川鬼神，甚至向匈奴人的长生天。不管是谁，给我水。给我水。只要给我水，我什么都给你。,献祭佩剑：以铁换水,天降暴雨,SUB_RES:armor:5|ADD_RES:grain:100,4006,,割破手掌：以血换水,获得雨水,DAMAGE:20|ADD_RES:grain:20,4006,,
4006,0,活死人的冲锋,匈奴人又攻城了。但这次不一样。防守的汉军像是一群行尸走肉。缺水让动作迟缓，视线模糊。你挥剑的时候，感觉像是在水底挥舞。每一个动作都要消耗平时两倍的意志力。这不是战斗，这是在用意志力对抗生理极限。,透支潜能：死战不退,击退敌军,SUB_RES:belief:20,4007,,利用城防：节省体力,城墙受损,SUB_RES:armor:1|SUB_RES:belief:20,4007,,
4007,1,最后的粮仓,水没了，粮也快见底了。粮仓里的老鼠都饿瘦了。你清点着最后的存粮。如果按常规配给，还能撑三天。如果杀马，能撑十天。如果……吃人，能撑很久。这个念头一闪而过，让你直冒冷汗。你脑海里的‘爬虫脑’在阴暗的角落里窃笑。,杀马充饥：断绝后路,获得粮食,ADD_RES:grain:50,4008,,严格缩食：全员半饱,全员虚弱,ADD_RES:belief:5,4008,,
4008,1,深夜的呓语,又是晚上。你听到了。不是风声。是有人在磨刀。是有人在策划哗变？还是单纯的因为太饿而在啃木头？疑心病像霉菌一样在黑暗中滋生。你握着剑柄，不敢闭眼。在这个绝境里，袍泽之情就像一张被水浸透的纸，一捅就破。,巡视营房：展示权威,镇压叛乱,ADD_RES:belief:10|SUB_RES:belief:2,4009,,假装睡着：考验人心,物资被窃,SUB_RES:grain:10,4009,,
4009,1,地图上的裂痕,（分歧前置）疏勒城的地图平铺在案几上。因为反复折叠，那天山的位置已经磨损成了一个破洞。案几上的油灯忽明忽暗，投射出狞厉的影子。两条路摆在你面前：一条是死守待援的‘忠’，一条是翻越天山的‘狂’。你的胃部一阵抽搐，那是对未来的生理性排斥。,凝视疏勒：这里是坟墓,解锁史实,ADD_RES:belief:0,4010,,凝视天山：那里是疯人院,解锁幻想,ADD_RES:belief:0,4010,,
4010,1,命运的岔路口,抉择时刻。A：坚守疏勒。这是历史上耿恭的选择。等待那微乎其微的援军，哪怕吃到只剩最后一副铠甲。这是忠臣的死法。B：翻越天山。这是疯子的选择。趁着大雪封山，匈奴人以为你们必死之时，翻过那座不可逾越的雪峰，直插敌后。这是战神的活法。,路线A：死守疏勒,进入史实线,ADD_RES:belief:20,5000,,路线B：翻越天山,进入幻想线,ADD_RES:belief:20,1300,belief>200,SWITCH_ROUTE_FANTASY
5000,1,被遗忘的囚徒,城门彻底封死了。你选择了留下。看着士兵们搬运石块堵死城门，你感到一种奇怪的解脱。就像是一个被判了无期徒刑的囚犯，终于不用再担心明天的庭审了。疏勒城现在是一座棺材，而你们是还在呼吸的陪葬品。你的逻辑脑在角落里抽泣：‘我们本来可以翻过那座山的。’,发表演讲：为了大汉，为了回家,振奋人心,ADD_RES:belief:10,5001,,沉默：像石头一样沉默,保持冷静,SUB_RES:belief:5,5001,,
5001,0,尘埃肺,井还是干的。士兵们已经在下面挖了十五丈。每一铲土上来，都带着绝望的灰尘味。有人开始咳血。那是肺部在抗议，它吸入了太多的土。你的副官看着你，眼神涣散：‘校尉，也许这里本来就没有水。也许我们是在挖通向地狱的路。’,继续挖：唯意志论,挖出湿泥,SUB_RES:belief:5|ADD_RES:grain:5,5002,,停止：承认失败,士气崩溃,SUB_RES:belief:30,5002,,
5002,1,佩剑与神迹,你站在井边。理智告诉你，这里没有水。地质学告诉你，这里是旱地。但你拔出了剑。你需要一个发泄口，或者一个奇迹。你对着干枯的井壁怒吼，那是对命运的咆哮。剑锋刺入土壁，就像刺入一个敌人的胸膛。这是一种非理性的、癫狂的仪式。,刺入井壁：向虚空索取,奇迹涌泉,ADD_RES:grain:100|SUB_RES:belief:20,5003,BELIEF>20,只是发泄：剑断了,毫无反应,SUB_RES:armor:10,5003,,
5003,1,水的狂欢,水！真的有水！不管是刺中了地下暗河，还是神真的听到了那个疯子的祷告。浑浊的泥水喷涌而出。士兵们跪在泥浆里，像牲口一样舔舐着地面。这是生命最原本的姿态——丑陋、贪婪、狂喜。你捧起一捧水，全是沙砾，但喝起来像蜜糖。你的胃在欢呼：‘万岁！’,纵情痛饮：不管卫生了,恢复体力,ADD_RES:belief:10,5004,,控制秩序：排队取水,井然有序,ADD_RES:belief:15,5004,,
5004,0,城下的展示,匈奴人还在外面等着你们渴死。他们甚至在煮茶，故意让茶香飘进城里。是时候给他们一点小小的“汉朝震撼”了。你让人把刚打上来的水——虽然浑浊——泼下城墙。水花在阳光下闪闪发光，落在匈奴人的脸上。这是一种极致的浪费，也是一种极致的傲慢。,泼水示威：神佑汉军！,敌军丧胆,ADD_RES:belief:20,5005,GRAIN>50,保持低调：存储水源,储备物资,ADD_RES:grain:10,5005,,
5005,1,短暂的宁静,匈奴人退到了后山，似乎被那个“神迹”吓到了。疏勒城暂时安全了。但安静比喧嚣更可怕。在安静中，你会听到肚子叫的声音。水的问题解决了，胃的问题就开始占据高地。你的肠道像一条饥饿的蛇，在腹腔里扭动，寻找可消化的东西。,检查粮仓：面对现实,发现缺粮,SUB_RES:grain:10,5006,,组织搜寻：抓老鼠,聊胜于无,ADD_RES:grain:5|SUB_RES:belief:2,5006,,
5006,1,最后的一袋米,粮官来找你了。他手里提着一个袋子，轻得像空气。‘校尉，这是最后的一袋了。’这袋米决定了三百人能活几天。煮成粥？每人只能分到一碗米汤。做成干粮？只够几个人吃。这是一道残酷的算术题，除数是三百，被除数是零。,全军煮粥：平均主义,勉强维持,ADD_RES:belief:5,5007,,只给战斗人员：精英主义,战力保存,ADD_RES:armor:10|SUB_RES:belief:20,5007,,
5007,0,饥饿的幻视,你开始看到幻觉。城墙的砖缝里长出了烧鸡。士兵的头盔变成了馒头。你甚至想去啃一口。这不仅仅是你的问题，所有人的眼神都变了。他们看战马的眼神，看皮甲的眼神，甚至看彼此的眼神……都带着一种原始的评估：‘这东西能吃吗？’,自我抽离：冥想,恢复理智,ADD_RES:belief:10,5008,,严厉军纪：禁止相食,维持底线,SUB_RES:belief:10,5008,,
5008,1,煮熟的皮带,一个老兵在角落里煮东西。锅里翻滚着黑色的汤汁。你走近一看，是一条腰带。牛皮做的。煮烂了之后，口感像橡胶，味道像烂泥。但那是蛋白质。他递给你一块：‘校尉，尝尝？有点咸，是汗味。’你的尊严在拒绝，但你的细胞在尖叫。,吃下去：与士卒同苦,恢复体力,ADD_RES:belief:5,5009,,拒绝：去杀战马,杀鸡取卵,ADD_RES:grain:50|SUB_RES:belief:10,5009,,
5009,0,不可食用的援军,城外来了一支队伍。是援军吗？不，是匈奴人的运粮队。满载着牛羊肉，就在射程之外晃悠。他们知道你们饿。这是赤裸裸的诱惑。只要打开城门冲出去，或许能抢到肉，或许会死在半路上。如果不冲，就只能看着他们吃。,冒险出击：抢粮！,抢夺物资,SUB_RES:belief:15|ADD_RES:grain:20,6000,belief>50,坚守不出：画饼充饥,忍耐饥饿,SUB_RES:belief:10,6000,,
6000,1,胃的暴政,无论你曾经是什么——将军、诗人、儿子——现在你只是一个胃的奴隶。饥饿不再是感觉，它是一个实体，住在你的腹腔里，用指甲刮擦着你的脊椎内侧。它要求祭品。粮仓里连老鼠屎都被吃光了。你的目光落在了副官那件早已磨损的牛皮护肩上。它看起来……很有嚼劲。,吞咽口水：评估材质,理智丧失,SUB_RES:belief:2,6001,,忍住：保持理智,身体虚弱,SUB_RES:belief:2,6001,,
6001,1,皮革烹饪学,这是一门被遗忘的艺术：如何把保护你心脏的坚硬皮革，变成维持你心脏跳动的软烂胶质。先把甲胄切碎，用沸水煮三天三夜。撇去上面的油漆和铜锈。那种味道，像是烧焦的头发混合着陈年汗水。但对于现在的你来说，那是世界上最香的肉汤。,煮了它：用防御换生存,获得食物,ADD_RES:grain:30|SUB_RES:armor:10,6002,ARMOR>0,保留甲胄：我还需要它挡箭,饿死士兵,SUB_RES:belief:5|ADD_RES:belief:10,6002,,
6002,1,沉默的弩机,弩是汉军的灵魂。它的弓弦是用上好的牛筋和兽皮绞成的。现在，为了活命，你要把这灵魂抽出来吃掉。拆掉弓弦，这把弩就是废木头。但不拆，拿弩的人就是死尸。你的士兵抱着弩，像抱着自己的孩子，眼泪滴在扳机上。‘校尉，吃了它，我们就只能用牙咬匈奴人了。’,拆解烹煮：吃掉武器,获得食物,ADD_RES:grain:20|SUB_RES:armor:10,6003,,誓死不拆：弩在人在,精神支柱,SUB_RES:belief:15,6003,,
6003,0,观音土的诱惑,有人在挖墙角的土。那是‘观音土’。吃下去能有饱腹感，像石头一样填满你的胃。那种坠胀感让人误以为是饱足。但它不会被消化，它会在此后几天里把你活活憋死。你看着那个满嘴黄泥的士兵，他笑得很开心，像个吃饱了的孩子。你要阻止这种慢性自杀吗？,严厉制止：那是土！,消耗意志,SUB_RES:belief:5,6004,,默许：至少他现在不饿了,慢性死亡,SUB_RES:belief:2,6004,,
6004,1,最后的一袋米,粮官的手在颤抖。他手里提着一个袋子，轻得像空气。‘校尉，这是最后的了。’这袋米决定了三百人能活几天。这是一道残酷的算术题，除数是三百，被除数接近于零。你的逻辑脑在计算卡路里，而你的爬虫脑想把那个袋子抢过来直接塞进嘴里。,全军煮粥：平均主义,勉强维持,ADD_RES:belief:5,6005,,只给战斗人员：精英主义,士兵怨恨,SUB_RES:belief:20,6005,,
6005,1,禁忌的蛋白质,一个士兵饿死了。尸体就摆在角落里。还没有开始腐烂。在这个封闭的空间里，法律已经失效。那具尸体不再是‘张三’，它是一堆由碳水化合物和蛋白质构成的物体。空气中弥漫着一种可怕的默契。没人说话，但你听到了吞咽口水的声音。,立刻掩埋：入土为安,人性尚存,ADD_RES:belief:20,6006,,视而不见：留给需要的人,信念崩塌,ADD_RES:grain:40|SUB_RES:belief:50,6006,,
6006,1,昏睡的战术,为了减少热量消耗，你下令除了哨兵外，所有人躺下不动。整个疏勒城像是一座坟墓。没有声音，没有炊烟。只有几百个微弱的呼吸声。你在半梦半醒之间，看到死去的战友坐在你身边，手里拿着一个热腾腾的肉夹馍。他问你：‘值得吗？’,值得：为了大汉,坚定信念,ADD_RES:belief:5,6007,,不知道：我只想吃那口馍,精神动摇,SUB_RES:belief:5,6007,,
6007,0,匈奴的烤肉宴,城外的匈奴人开始搞心理战。他们在上风口架起了巨大的烤肉架。烤羊肉的香气乘着风，像无形的毒气一样钻进城里。这比毒箭更致命。士兵们趴在城墙上，贪婪地吸着鼻子。那香气在他们的脑子里勾勒出油脂滴落的画面。这是刑罚，是凌迟。,射箭干扰：打翻烤肉架,振奋士气,SUB_RES:belief:5|ADD_RES:belief:10,6008,,严令退下：塞住鼻子,士气低落,SUB_RES:belief:10,6008,,
6008,1,也是一种铠甲,（如果有吃人记录）你的胃里有一种沉甸甸的坠胀感。那不是普通的饱腹感。你觉得那些死去的士兵就在你的身体里。他们的血肉变成了你的肌肉。你看着自己的手，觉得那不再是你的手，是集体的意志。这种感觉让你恶心，也让你强大。你不再怕死，因为你已经吞噬了死亡。,接受这份罪孽：负重前行,攻击提升,ADD_RES:armor:20,6009,,呕吐：试图洗刷灵魂,心理崩溃,SUB_RES:belief:10,6009,,
6009,1,干枯的眼泪,你的副官在哭。但因为极度脱水和饥饿，他流不出眼泪。只有干涩的喉咙发出‘咯咯’的声音。他在想念洛阳的豆腐脑。这种思念是有重量的，它压弯了他的脊梁。你必须说点什么，或者做点什么，否则这种情绪会像瘟疫一样传染。,画饼充饥：描述洛阳美食,望梅止渴,ADD_RES:belief:10|SUB_RES:belief:2,6010,,保持沉默：省点力气,士气低落,SUB_RES:belief:5,6010,,
